"no_nas";"nm_nas";"no_ident";"jns_ident";"created_at_kantor";"masa_ident";"tgl_ident";"acc_off";"bntk_hkm";"gol_pemilik";"status_nas";"flag_hub_bank";"sumber_dana";"tujuan_dana";"maks_trans";"penghasilan_bulan";"penghasilan_lainnya";"pengeluaran_bulan";"pengeluaran_lainnya";"npwp";"no_telp";"email";"bidang_usaha"
"a3913e7c-6d01-495c-bd7d-662c40c47244";"Pratiwi Halima";"67477ce2-d6ba-4179-8545-519147fda8f3";"1";"145";"1";"2024-08-09";"RYW";"16";"4";"""00""";"true";"0";"3";"1";"0";"3";"0";"2";"3ec58e3f-bdde-4617-824e-0632d5550540";"+62 (401) 8295-0814";"Jamalia_Wijayanti@gmail.co.id";"5"
"6614cb96-bcaf-41fa-83bc-00c6bb9a8c59";"Eja Zulkarnain";"afdd37ce-6ab3-451a-b307-a471f0f055ff";"4";"117";"1";"2024-08-09";"GyL";"20";"13";"""01""";"true";"4";"4";"2";"3";"4";"3";"3";"bc85aafb-4bbb-4944-a1db-2f27320604d9";"+62 (330) 2588-7120";"Ana_Afifah@yahoo.co.id";"3"
"404139e5-e265-4195-8705-bfcbf0c091ad";"Irfan Mandala";"815deb62-e42a-40d9-be2c-79c1e98bb713";"4";"135";"0";"2024-08-09";"mxj";"11";"4";"""00""";"false";"4";"0";"0";"1";"2";"2";"0";"9dd3c2e4-4a80-49ca-8352-94362a4f6f97";"+62 (118) 9944-0365";"Taufan_Satria@gmail.com";"6"
"c5a35c40-b194-4acb-a0a5-120f12afb878";"Kurniawan Eko";"e1397e39-c3d8-4823-b0eb-e3c10ae5f38d";"2";"88";"0";"2024-08-09";"LQc";"14";"5";"""01""";"true";"2";"0";"3";"3";"1";"1";"4";"b725216b-3a92-4489-bc80-50f5824abe33";"+62 (621) 0785-9477";"Hairyanto6@yahoo.co.id";"10"
"ab7942de-94ed-43c6-8627-6cebf4cb7618";"Mila Mila Yuliarti";"1fe6c967-6b96-4b77-88cc-d594a14862d7";"3";"78";"1";"2024-08-09";"OYn";"7";"2";"""01""";"false";"1";"2";"3";"0";"4";"4";"2";"4a7d3187-bd43-4651-aec3-285ab5051fe7";"+62 (116) 5140-8849";"Zelaya36@gmail.com";"9"
"0ba266fa-0ef8-4240-8cce-bba59c7907a1";"Adikara Adikara Prakasa";"00a6537a-dd33-4d04-865f-a7d48163549b";"3";"177";"0";"2024-08-09";"pQE";"5";"6";"""01""";"false";"0";"0";"0";"2";"0";"3";"1";"575388ae-d021-4530-836c-55bcc76999d6";"+62 (783) 1488-7472";"Natalia99@gmail.com";"1"
"a934bd07-11db-428b-af7f-94dee27fb410";"Ditya Hasanah";"b58f8c00-91ab-4dc5-8265-16e6892166f8";"2";"415";"0";"2024-08-09";"qeD";"9";"6";"""00""";"true";"0";"1";"4";"2";"0";"1";"3";"5dd4c797-ddc8-4a3c-ab30-d69c2c73fee4";"+62 (585) 1179-4589";"Anggabaya_Utama@yahoo.co.id";"4"
"02e9fb8e-8d66-4896-91ac-9387f0df523e";"Zalindra Mayasari";"51bf090b-2762-46ea-be06-94a9f320aeca";"4";"174";"1";"2024-08-09";"IDK";"1";"4";"""01""";"false";"3";"2";"4";"4";"3";"1";"1";"0c642619-8fcd-4ccb-8bea-b16789e5e328";"+62 (719) 2218-5102";"Gangsa.Faresta36@yahoo.com";"0"
"1beab13a-0b67-4dd8-92bb-5ac44af2ae36";"Fara Salma";"6c9872d8-f407-4c02-b44f-08c4ed5ef07a";"2";"120";"1";"2024-08-09";"RUC";"8";"1";"""01""";"true";"3";"1";"4";"2";"1";"2";"2";"fb8e6956-1493-40a0-90d9-2c3c0b783e51";"+62 (364) 6498-6306";"Atma4@gmail.com";"10"
"9f2865d5-bc2e-4a2d-a8bd-ad0d2605e10b";"Kahyang Vanesa";"be61421e-809a-4717-8c9c-30ed2e16375c";"2";"93";"1";"2024-08-09";"lHs";"2";"9";"""00""";"true";"4";"2";"0";"0";"4";"3";"2";"62027e56-3f5d-4fe3-9e5d-c5348950a941";"+62 (675) 3626-5253";"Garan44@gmail.co.id";"2"
"125fc1e8-94e8-41ba-ab0f-d6bbbdd2893b";"Wulandari Cinta";"54ae4389-9fc0-4855-9b27-5466db835340";"2";"453";"1";"2024-08-09";"nmG";"7";"5";"""00""";"true";"2";"3";"2";"2";"0";"1";"4";"5f401fda-3352-4f59-b806-431579d6719f";"+62 (207) 5887-1252";"Catur77@yahoo.com";"8"
"24e39660-eff7-4241-b1c6-655efd737e4c";"Kirana Farida";"d93b2897-500d-4204-9d80-f409a3a241b0";"2";"197";"1";"2024-08-09";"Wyh";"17";"12";"""01""";"false";"0";"1";"3";"0";"3";"2";"2";"fd88568f-f90d-42ce-bf39-25cf2d4ae6fc";"+62 (676) 9555-3476";"Dacin.Hidayanto@yahoo.com";"7"
"97c4f00d-37a0-49bd-b03b-deeb77d29843";"Clara Palastri";"4c032eb3-d603-4d23-8593-ac3dee36f2af";"1";"385";"0";"2024-08-09";"Gkt";"15";"18";"""00""";"true";"0";"2";"1";"2";"1";"1";"2";"78d6915a-5ac5-4aa9-a729-08d3b328b7a9";"+62 (182) 2267-9683";"Wani_Nathania28@gmail.co.id";"8"
